uninumbr,namefull,namebr,addresbr,citybr,stalpbr,zipbr,cntynamb,asset,depdom,depsumbr,bkclass,bkmo,brnum,brsertyp,cert,charter,clcode,regagnt,specdesc
364557,SunTrust Bank,Dacula Village Branch,792 Dacula Rd,Dacula,GA,30019,Gwinnett,202481382,162671910,61534,SM,0,1435,11,00867,State,13,FED,Commercial Lending
423447,SunTrust Bank,Westside Village Branch,825 Martin Luther King Jr. Drive,Atlanta,GA,30314,Fulton,202481382,162671910,8050,SM,0,1494,11,00867,State,13,FED,Commercial Lending
430699,SunTrust Bank,Ellard Village Branch,8390 Holcomb Bridge Road,Alpharetta,GA,30022,Fulton,202481382,162671910,40649,SM,0,1512,11,00867,State,13,FED,Commercial Lending
186361,SunTrust Bank,Dunwoody Place Branch,8725 Roswell Road,Atlanta,GA,30350,Fulton,202481382,162671910,31480,SM,0,135,12,00867,State,13,FED,Commercial Lending
358746,SunTrust Bank,Kings Plaza Branch,885 Woodstock Road,Roswell,GA,30075,Fulton,202481382,162671910,31531,SM,0,1275,12,00867,State,13,FED,Commercial Lending
186371,SunTrust Bank,Eagles Landing Branch,909 Eagles Landing Parkway,Stockbridge,GA,30281,Henry,202481382,162671910,31194,SM,0,145,12,00867,State,13,FED,Commercial Lending
186378,SunTrust Bank,Merton Walk Branch,911 Duluth Highway,Lawrenceville,GA,30043,Gwinnett,202481382,162671910,18796,SM,0,152,12,00867,State,13,FED,Commercial Lending
186346,SunTrust Bank,Haynes Bridge Branch,9119 Haynes Bridge Road,Alpharetta,GA,30022,Fulton,202481382,162671910,117751,SM,0,120,11,00867,State,13,FED,Commercial Lending
433225,SunTrust Bank,Mcdonough West Branch,942 Highway 81 East,Mcdonough,GA,30253,Henry,202481382,162671910,84134,SM,0,1536,11,00867,State,13,FED,Commercial Lending
186351,SunTrust Bank,Medlock Bridge Branch,9600 Medlock Bridge Road,Johns Creek,GA,30097,Fulton,202481382,162671910,114898,SM,0,125,11,00867,State,13,FED,Commercial Lending
466579,SunTrust Bank,Birmingham Village Branch,"980 Birmingham Rd, Suite 400",Alpharetta,GA,30004,Fulton,202481382,162671910,31095,SM,0,2190,11,00867,State,13,FED,Commercial Lending
430706,SunTrust Bank,Eagles Landing North Branch,980eagles Landing Pkwy,Stockbridge,GA,30281,Henry,202481382,162671910,57792,SM,0,1519,11,00867,State,13,FED,Commercial Lending
186407,SunTrust Bank,Johnson Ferry Rd Branch,993-A Johnson Ferry Rd Ne,Atlanta,GA,30342,Fulton,202481382,162671910,85941,SM,0,181,11,00867,State,13,FED,Commercial Lending
360506,Synovus Bank,Fayetteville Financial Branch,100 Burch Road,Fayetteville,GA,30215,Fayette,30534286,25465778,60085,SM,0,95,11,00873,State,13,FED,Commercial Lending
283806,Synovus Bank,Roswell Bank Branch,10446 Alpharetta Highway,Roswell,GA,30075,Fulton,30534286,25465778,248976,SM,0,76,11,00873,State,13,FED,Commercial Lending
014388,Synovus Bank,Bank Of Coweta Branch,110 Jefferson Street,Newnan,GA,30263,Coweta,30534286,25465778,112033,SM,0,66,11,00873,State,13,FED,Commercial Lending
036353,Synovus Bank,Johnson Ferry Bank Branch,1200 Johnson Ferry Road,Marietta,GA,30068,Cobb,30534286,25465778,343476,SM,0,86,11,00873,State,13,FED,Commercial Lending
283807,Synovus Bank,Crabapple Bank Branch,12355 Arnold Mill Road,Alpharetta,GA,30004,Fulton,30534286,25465778,147206,SM,0,77,11,00873,State,13,FED,Commercial Lending
450832,Synovus Bank,Old Peachtree Bank Branch,1490 Distribution Drive,Suwanee,GA,30024,Gwinnett,30534286,25465778,36201,SM,0,91,11,00873,State,13,FED,Commercial Lending
251742,Synovus Bank,Temple Avenue Branch,192 Temple Avenue,Newnan,GA,30263,Coweta,30534286,25465778,62067,SM,0,68,11,00873,State,13,FED,Commercial Lending
035980,Synovus Bank,Peachtree National Bank Branch,2603 Highway 54 West,Peachtree City,GA,30269,Fayette,30534286,25465778,148612,SM,0,92,11,00873,State,13,FED,Commercial Lending
039934,Synovus Bank,Marietta Bank Branch,269 Roswell Street,Marietta,GA,30060,Cobb,30534286,25465778,231995,SM,0,84,11,00873,State,13,FED,Commercial Lending
469487,Synovus Bank,Sandy Springs Branch,"280 Sandy Springs Circle, Ne",Sandy Springs,GA,30328,Fulton,30534286,25465778,138702,SM,0,104,11,00873,State,13,FED,Commercial Lending
260537,Synovus Bank,Galleria Bank Branch,2841 Akers Mill Road,Atlanta,GA,30339,Cobb,30534286,25465778,57068,SM,0,87,11,00873,State,13,FED,Commercial Lending
246678,Synovus Bank,Jonesboro Road Branch,285 Jonesboro Road,Mcdonough,GA,30253,Henry,30534286,25465778,34791,SM,0,101,11,00873,State,13,FED,Commercial Lending
038655,Synovus Bank,Chapel Hill Road Branch,2991 Chapel Hill Road,Douglasville,GA,30135,Douglas,30534286,25465778,150134,SM,0,114,11,00873,State,13,FED,Commercial Lending
251745,Synovus Bank,Thomas Crossroads Branch,3130 Highway 34 East,Newnan,GA,30265,Coweta,30534286,25465778,52356,SM,0,70,11,00873,State,13,FED,Commercial Lending
364166,Synovus Bank,Buckhead Pcs Branch,"3280 Peachtree Road, N.E., Turminus 100",Atlanta,GA,30305,Fulton,30534286,25465778,213601,SM,0,80,11,00873,State,13,FED,Commercial Lending
365238,Synovus Bank,Buckhead Bank Branch,334 East Paces Ferry Road,Atlanta,GA,30305,Fulton,30534286,25465778,225770,SM,0,90,11,00873,State,13,FED,Commercial Lending
423492,Synovus Bank,Hamilton Mill Branch,3507 Braselton Highway,Dacula,GA,30019,Gwinnett,30534286,25465778,31805,SM,0,59,11,00873,State,13,FED,Commercial Lending
360057,Synovus Bank,Buford Bank Branch,4465 Nelson Brogdon Boulevard,Buford,GA,30518,Gwinnett,30534286,25465778,91607,SM,0,78,11,00873,State,13,FED,Commercial Lending
039561,Synovus Bank,Tucker Bank Branch,5100 Lavista Road,Tucker,GA,30084,DeKalb,30534286,25465778,157314,SM,0,82,11,00873,State,13,FED,Commercial Lending
261722,Synovus Bank,Peachtree Corners Bank Branch,5340 Peachtree Industrial Blvd,Norcross,GA,30071,Gwinnett,30534286,25465778,46036,SM,0,83,11,00873,State,13,FED,Commercial Lending
483146,Synovus Bank,Chamblee Dunwood Road Branch,5506 Chamblee Dunwoody Road,Atlanta,GA,30338,DeKalb,30534286,25465778,39269,SM,0,118,11,00873,State,13,FED,Commercial Lending
365237,Synovus Bank,Chastain Bank Branch,555 Chastain Road Nw,Kennesaw,GA,30144,Cobb,30534286,25465778,84218,SM,0,89,11,00873,State,13,FED,Commercial Lending
470781,Synovus Bank,Church Street Branch,6500 East Church Street,Douglasville,GA,30134,Douglas,30534286,25465778,78933,SM,0,117,11,00873,State,13,FED,Commercial Lending
251743,Synovus Bank,Senoia Branch,7817 Wells Street,Senoia,GA,30276,Coweta,30534286,25465778,38628,SM,0,69,11,00873,State,13,FED,Commercial Lending
044037,Synovus Bank,Alpharetta Branch,8025 Westside Parkway,Alpharetta,GA,30009,Fulton,30534286,25465778,364942,SM,0,72,11,00873,State,13,FED,Commercial Lending
000560,The Brand Banking Company,The Brand Banking Company,106 East Crogan Street,Lawrenceville,GA,30046,Gwinnett,2310783,1892189,120277,SM,1,0,11,00878,State,13,FED,Commercial Lending
186491,The Brand Banking Company,Hurricane Shoals Branch,141 Hurricane Shoals Road Ne,Lawrenceville,GA,30046,Gwinnett,2310783,1892189,1247592,SM,0,3,11,00878,State,13,FED,Commercial Lending
357174,The Brand Banking Company,Grayson Branch,2100 Grayson Hwy.,Grayson,GA,30017,Gwinnett,2310783,1892189,134221,SM,0,4,11,00878,State,13,FED,Commercial Lending
468928,The Brand Banking Company,Buford Branch,2255 Buford Hwy,Buford,GA,30518,Gwinnett,2310783,1892189,65950,SM,0,7,11,00878,State,13,FED,Commercial Lending
186490,The Brand Banking Company,Snellville Branch,2488 East Main Street,Snellville,GA,30078,Gwinnett,2310783,1892189,157721,SM,0,2,11,00878,State,13,FED,Commercial Lending
580508,The Brand Banking Company,Suwanee Branch,480 Peachtree Industrial Blvd,Suwanee,GA,30024,Gwinnett,2310783,1892189,23832,SM,0,8,11,00878,State,13,FED,Commercial Lending
468927,The Brand Banking Company,Duluth Branch,6224 Sugarloaf Pkwy,Duluth,GA,30097,Gwinnett,2310783,1892189,90139,SM,0,6,11,00878,State,13,FED,Commercial Lending
520250,The Northern Trust Company,Atlanta Branch,3282 Northside Pkwy Nw Ste 100,Atlanta,GA,30327,Fulton,125198210,36878232,128048,SM,0,102,11,00913,State,13,FED,International
589433,"Southcrest Bank, National Association",Tyrone Branch,105 St Stephens Ct,Tyrone,GA,30290,Fayette,530697,470242,26441,N,0,16,11,02124,Fed,3,OCC,Commercial Lending
001399,"Southcrest Bank, National Association","Southcrest Bank, National Association","1475 West Peachtree Street, Ne, Suite 200",Atlanta,GA,30309,Fulton,530697,470242,6989,N,1,0,11,02124,Fed,3,OCC,Commercial Lending
191815,"Bank of America, National Association",Perimeter Center Branch,"1 Perimeter Center East, N.E.",Atlanta,GA,30346,DeKalb,1705928000,1270151000,348928,N,0,4190,11,03510,Fed,3,OCC,All Other > $1 Billion
424284,"Bank of America, National Association",Coweta Crossroads Branch,10 Glenda Trace,Newnan,GA,30265,Coweta,1705928000,1270151000,78408,N,0,6834,11,03510,Fed,3,OCC,All Other > $1 Billion
424242,"Bank of America, National Association",The Shops At Huntcrest Branch,1014 Old Peachtree Road Northwest,Lawrenceville,GA,30043,Gwinnett,1705928000,1270151000,65632,N,0,6826,11,03510,Fed,3,OCC,All Other > $1 Billion
011646,"Bank of America, National Association",Forest Park Branch,1066 Main Street,Forest Park,GA,30297,Clayton,1705928000,1270151000,119963,N,0,4536,11,03510,Fed,3,OCC,All Other > $1 Billion
013513,"Bank of America, National Association",Roswell Branch,10750 Alpharetta Highway 9,Roswell,GA,30076,Fulton,1705928000,1270151000,139263,N,0,4212,11,03510,Fed,3,OCC,All Other > $1 Billion
460094,"Bank of America, National Association",Midtown Center Branch,1088 Peachtree Street Ne,Atlanta,GA,30309,Fulton,1705928000,1270151000,526753,N,0,8893,11,03510,Fed,3,OCC,All Other > $1 Billion
191904,"Bank of America, National Association",Jones Bridge Branch,10950 Jones Bridge Road,Alpharetta,GA,30022,Fulton,1705928000,1270151000,153545,N,0,4289,11,03510,Fed,3,OCC,All Other > $1 Billion
422993,"Bank of America, National Association",Medlock Abbotts Bridge Branch,10950 Medlock Bridge Road,Duluth,GA,30097,Fulton,1705928000,1270151000,217269,N,0,6801,11,03510,Fed,3,OCC,All Other > $1 Billion
444581,"Bank of America, National Association",Suwanee Branch,1130 Peachtree Industrial Boulevard,Suwanee,GA,30024,Gwinnett,1705928000,1270151000,131637,N,0,8771,11,03510,Fed,3,OCC,All Other > $1 Billion
191849,"Bank of America, National Association",Southlake Branch,1200 Mt. Zion Road,Morrow,GA,30260,Clayton,1705928000,1270151000,76980,N,0,4243,11,03510,Fed,3,OCC,All Other > $1 Billion
238881,"Bank of America, National Association",Belvedere Branch,1272 Columbia Drive,Decatur,GA,30032,DeKalb,1705928000,1270151000,39677,N,0,4203,11,03510,Fed,3,OCC,All Other > $1 Billion
191760,"Bank of America, National Association",West Paces Ferry Branch,"1280 West Paces Ferry Road, N.W.",Atlanta,GA,30327,Fulton,1705928000,1270151000,147716,N,0,4160,11,03510,Fed,3,OCC,All Other > $1 Billion
191846,"Bank of America, National Association",Holcomb Bridge Branch,1329 Holcomb Bridge Road,Roswell,GA,30076,Fulton,1705928000,1270151000,107324,N,0,4239,11,03510,Fed,3,OCC,All Other > $1 Billion
014242,"Bank of America, National Association",Mcdonough Branch,135 Keys Ferry Road,Mcdonough,GA,30253,Henry,1705928000,1270151000,83186,N,0,4222,11,03510,Fed,3,OCC,All Other > $1 Billion
001413,"Bank of America, National Association",Marietta Square Branch,"140 Cherokee Street, N.E.",Marietta,GA,30060,Cobb,1705928000,1270151000,118568,N,0,4588,11,03510,Fed,3,OCC,All Other > $1 Billion
191710,"Bank of America, National Association",East Marietta Branch,1430 Roswell Road,Marietta,GA,30062,Cobb,1705928000,1270151000,85955,N,0,4589,11,03510,Fed,3,OCC,All Other > $1 Billion
276684,"Bank of America, National Association",Buford Main Branch,"1500 Buford Highway, N.E.",Buford,GA,30518,Gwinnett,1705928000,1270151000,123343,N,0,4604,11,03510,Fed,3,OCC,All Other > $1 Billion
235423,"Bank of America, National Association",Hudson Bridge Branch,1550 Hudson Bridge Road,Stockbridge,GA,30281,Henry,1705928000,1270151000,74125,N,0,5205,11,03510,Fed,3,OCC,All Other > $1 Billion
239917,"Bank of America, National Association",Emory Village Branch,1615 North Decatur Road,Atlanta,GA,30307,DeKalb,1705928000,1270151000,192881,N,0,4205,11,03510,Fed,3,OCC,All Other > $1 Billion
191514,"Bank of America, National Association",Decatur Branch,163 Clairmont Avenue,Decatur,GA,30030,DeKalb,1705928000,1270151000,196319,N,0,4529,11,03510,Fed,3,OCC,All Other > $1 Billion
191800,"Bank of America, National Association",Ansley Mall Branch,"1674 Monroe Drive, N.E.",Atlanta,GA,30324,Fulton,1705928000,1270151000,146218,N,0,4180,11,03510,Fed,3,OCC,All Other > $1 Billion
191520,"Bank of America, National Association",Mountain Industrial Branch,1698 Mountain Industrial Boulevard,Stone Mountain,GA,30083,DeKalb,1705928000,1270151000,38630,N,0,4530,11,03510,Fed,3,OCC,All Other > $1 Billion
191769,"Bank of America, National Association",Howell Mill Branch,1775 Howell Mill Road,Atlanta,GA,30318,Fulton,1705928000,1270151000,149673,N,0,4166,11,03510,Fed,3,OCC,All Other > $1 Billion
423360,"Bank of America, National Association",Macland Branch,1800 Macland Road,Marietta,GA,30064,Cobb,1705928000,1270151000,62674,N,0,6818,11,03510,Fed,3,OCC,All Other > $1 Billion
362666,"Bank of America, National Association",Mall Of Georgia Branch,1900 Mall Of Georgia Blvd,Buford,GA,30519,Gwinnett,1705928000,1270151000,82634,N,0,6674,11,03510,Fed,3,OCC,All Other > $1 Billion
239915,"Bank of America, National Association",North Dekalb Branch,2052 Lawrenceville Highway,Decatur,GA,30033,DeKalb,1705928000,1270151000,106146,N,0,4204,11,03510,Fed,3,OCC,All Other > $1 Billion
247340,"Bank of America, National Association",Fayetteville Banks Station Branch,219 Banks Street,Fayetteville,GA,30214,Fayette,1705928000,1270151000,96291,N,0,4242,11,03510,Fed,3,OCC,All Other > $1 Billion
191526,"Bank of America, National Association",Executive Park Branch,"2223 North Druid Hills Road, N.E.",Atlanta,GA,30329,DeKalb,1705928000,1270151000,240119,N,0,4533,11,03510,Fed,3,OCC,All Other > $1 Billion
191830,"Bank of America, National Association",Peachtree Center Branch,231 Peachtree Street Sw,Atlanta,GA,30303,Fulton,1705928000,1270151000,592115,N,0,4197,11,03510,Fed,3,OCC,All Other > $1 Billion
005399,"Bank of America, National Association",Tucker Branch,2333 Main Street,Tucker,GA,30084,DeKalb,1705928000,1270151000,113507,N,0,4209,11,03510,Fed,3,OCC,All Other > $1 Billion
191793,"Bank of America, National Association",Peachtree Battle Branch,"2367 Peachtree Road, N.E.",Atlanta,GA,30305,Fulton,1705928000,1270151000,151543,N,0,4175,11,03510,Fed,3,OCC,All Other > $1 Billion
014039,"Bank of America, National Association",Alpharetta Branch,244 South Main Street,Alpharetta,GA,30004,Fulton,1705928000,1270151000,182094,N,0,4545,11,03510,Fed,3,OCC,All Other > $1 Billion
191855,"Bank of America, National Association",Dunwoody Branch,2454 Jett Ferry Road,Dunwoody,GA,30338,DeKalb,1705928000,1270151000,139172,N,0,4261,11,03510,Fed,3,OCC,All Other > $1 Billion
422965,"Bank of America, National Association",East Cobb Branch,2465 Roswell Road,Marietta,GA,30062,Cobb,1705928000,1270151000,108177,N,0,6796,11,03510,Fed,3,OCC,All Other > $1 Billion
250850,"Bank of America, National Association",Snellville Branch,2467 East Main Street,Snellville,GA,30078,Gwinnett,1705928000,1270151000,194182,N,0,4547,11,03510,Fed,3,OCC,All Other > $1 Billion
191714,"Bank of America, National Association",Smyrna Branch,"2475 South Cobb Drive, S.W.",Smyrna,GA,30080,Cobb,1705928000,1270151000,77162,N,0,4591,11,03510,Fed,3,OCC,All Other > $1 Billion
225433,"Bank of America, National Association",Windy Hill Branch,2501 Windy Hill Road,Marietta,GA,30067,Cobb,1705928000,1270151000,82274,N,0,4217,11,03510,Fed,3,OCC,All Other > $1 Billion
191856,"Bank of America, National Association",Town Center Branch,2597 George Busbee Parkway,Kennesaw,GA,30144,Cobb,1705928000,1270151000,99518,N,0,4262,11,03510,Fed,3,OCC,All Other > $1 Billion
010431,"Bank of America, National Association",Pleasant Hill Branch,2608 Pleasant Hill Road,Duluth,GA,30096,Gwinnett,1705928000,1270151000,101224,N,0,4535,11,03510,Fed,3,OCC,All Other > $1 Billion
191756,"Bank of America, National Association",Buckhead Crossing Banking Center Branch,"2625 Piedmont Road, Suite 59, N.E.",Atlanta,GA,30324,Fulton,1705928000,1270151000,113285,N,0,4158,11,03510,Fed,3,OCC,All Other > $1 Billion
191884,"Bank of America, National Association",Powder Springs Branch,2693 Powder Springs Road Sw,Marietta,GA,30064,Cobb,1705928000,1270151000,64711,N,0,4275,11,03510,Fed,3,OCC,All Other > $1 Billion
365637,"Bank of America, National Association",Sugarloaf Parkway Financial Branch,2724 Meadow Church Road,Duluth,GA,30097,Gwinnett,1705928000,1270151000,150064,N,0,6736,11,03510,Fed,3,OCC,All Other > $1 Billion
433436,"Bank of America, National Association",Us Highway 41 & Pine Mountain Road Branch,2781 Cobb Pkwy Nw,Kennesaw,GA,30152,Cobb,1705928000,1270151000,84747,N,0,6991,11,03510,Fed,3,OCC,All Other > $1 Billion
191717,"Bank of America, National Association",Sprayberry Crossing Branch,"2786 Sandy Plains Road, N.E.",Marietta,GA,30066,Cobb,1705928000,1270151000,113268,N,0,4592,11,03510,Fed,3,OCC,All Other > $1 Billion
191887,"Bank of America, National Association",Horizons Branch,2800 Lawrenceville - Suwanee Road,Suwanee,GA,30024,Gwinnett,1705928000,1270151000,83192,N,0,4276,11,03510,Fed,3,OCC,All Other > $1 Billion
010865,"Bank of America, National Association",East Point Branch,2818 East Point Street,East Point,GA,30344,Fulton,1705928000,1270151000,96183,N,0,4211,11,03510,Fed,3,OCC,All Other > $1 Billion
250186,"Bank of America, National Association",South Dekalb Branch,2850 Candler Road,Decatur,GA,30034,DeKalb,1705928000,1270151000,64262,N,0,4208,11,03510,Fed,3,OCC,All Other > $1 Billion
191799,"Bank of America, National Association",Greenbriar Branch,"3011 Headland Drive, S.W.",Atlanta,GA,30311,Fulton,1705928000,1270151000,44613,N,0,4179,11,03510,Fed,3,OCC,All Other > $1 Billion
191946,"Bank of America, National Association",Powers Ferry Branch,3030 Windy Hill Road,Marietta,GA,30067,Cobb,1705928000,1270151000,257498,N,0,4627,11,03510,Fed,3,OCC,All Other > $1 Billion
424679,"Bank of America, National Association",Fairington Road Branch,3040 Panola Road,Lithonia,GA,30038,DeKalb,1705928000,1270151000,24645,N,0,6853,11,03510,Fed,3,OCC,All Other > $1 Billion
225435,"Bank of America, National Association",Cumberland Branch,3057 Akers Mill,Atlanta,GA,30339,Cobb,1705928000,1270151000,230940,N,0,4218,11,03510,Fed,3,OCC,All Other > $1 Billion
191506,"Bank of America, National Association",Buckhead Branch,"3116 Peachtree Road, N.E.",Atlanta,GA,30305,Fulton,1705928000,1270151000,195549,N,0,4524,11,03510,Fed,3,OCC,All Other > $1 Billion
361770,"Bank of America, National Association",Turner Hill Banking Center Branch,3141 Turner Hill Road,Lithonia,GA,30038,DeKalb,1705928000,1270151000,36407,N,0,6646,11,03510,Fed,3,OCC,All Other > $1 Billion
191850,"Bank of America, National Association",Shallowford Falls Branch,3182 Johnson Ferry Road,Marietta,GA,30062,Cobb,1705928000,1270151000,142936,N,0,4248,11,03510,Fed,3,OCC,All Other > $1 Billion
191845,"Bank of America, National Association",Peachtree Corners Branch,3210 Holcomb Bridge Road,Norcross,GA,30092,Gwinnett,1705928000,1270151000,136362,N,0,4238,11,03510,Fed,3,OCC,All Other > $1 Billion
363412,"Bank of America, National Association",Fayetteville Pavilion Branch,326 Hwy 314 @ New Hope Road,Fayetteville,GA,30214,Fayette,1705928000,1270151000,71136,N,0,6694,11,03510,Fed,3,OCC,All Other > $1 Billion
424781,"Bank of America, National Association",Old Alabama Branch,3310 Old Alabama Road,Alpharetta,GA,30022,Fulton,1705928000,1270151000,173980,N,0,6879,11,03510,Fed,3,OCC,All Other > $1 Billion
191512,"Bank of America, National Association",Monarch Plaza Branch,"3414 Peachtree Road, N.E.",Atlanta,GA,30326,Fulton,1705928000,1270151000,164203,N,0,4528,11,03510,Fed,3,OCC,All Other > $1 Billion
589087,"Bank of America, National Association",Pinnacle Pwm Branch,3455 Peachtree Rd Ne,Atlanta,GA,30326,Fulton,1705928000,1270151000,353840,N,0,9819,23,03510,Fed,3,OCC,All Other > $1 Billion
191751,"Bank of America, National Association",Cascade Corners Branch,"3495 Cascade Road, S.W.",Atlanta,GA,30311,Fulton,1705928000,1270151000,72782,N,0,4155,11,03510,Fed,3,OCC,All Other > $1 Billion
191759,"Bank of America, National Association",Marietta Street Branch,"35 Broad Street, N.W.",Atlanta,GA,30303,Fulton,1705928000,1270151000,145350,N,0,4159,11,03510,Fed,3,OCC,All Other > $1 Billion
363970,"Bank of America, National Association",Hamilton Mill Banking Branch,3535 Braselton Highway,Dacula,GA,30019,Gwinnett,1705928000,1270151000,113533,N,0,6715,11,03510,Fed,3,OCC,All Other > $1 Billion
191847,"Bank of America, National Association",Gwinnett Place Branch,3542 Satellite Boulevard,Duluth,GA,30096,Gwinnett,1705928000,1270151000,266919,N,0,4240,11,03510,Fed,3,OCC,All Other > $1 Billion
235381,"Bank of America, National Association",Gwinnett Place Drive-Thru Branch,3552 Satellite Boulevard,Duluth,GA,30096,Gwinnett,1705928000,1270151000,0,N,0,5160,23,03510,Fed,3,OCC,All Other > $1 Billion
250854,"Bank of America, National Association",Chamblee-Tucker Instore Branch,3559 Chamblee-Tucker Road,Chamblee,GA,30341,DeKalb,1705928000,1270151000,57678,N,0,4552,12,03510,Fed,3,OCC,All Other > $1 Billion
443502,"Bank of America, National Association",New Chastain Corners Branch,3585 Canton Road,Marietta,GA,30066,Cobb,1705928000,1270151000,56558,N,0,8757,11,03510,Fed,3,OCC,All Other > $1 Billion
191721,"Bank of America, National Association",West Cobb Branch,3590 Dallas Highway,Marietta,GA,30064,Cobb,1705928000,1270151000,188763,N,0,4593,11,03510,Fed,3,OCC,All Other > $1 Billion
191867,"Bank of America, National Association",Howell Ferry Branch,3595 Peachtree Industrial Boulevard,Duluth,GA,30096,Gwinnett,1705928000,1270151000,117541,N,0,4271,11,03510,Fed,3,OCC,All Other > $1 Billion
456251,"Bank of America, National Association",Camp Creek Branch,3680 Camp Creek Parkway,Atlanta,GA,30331,Fulton,1705928000,1270151000,42723,N,0,8851,11,03510,Fed,3,OCC,All Other > $1 Billion
191765,"Bank of America, National Association",South Expressway Branch,3800 Browns Mill Road,Atlanta,GA,30354,Fulton,1705928000,1270151000,52922,N,0,4164,11,03510,Fed,3,OCC,All Other > $1 Billion
191826,"Bank of America, National Association",Dekalb College Branch,3819 North Decatur Road,Decatur,GA,30032,DeKalb,1705928000,1270151000,138346,N,0,4195,11,03510,Fed,3,OCC,All Other > $1 Billion
433571,"Bank of America, National Association",Beaver Ruin Branch,3930 Lawrenceville Highway Nw,Lilburn,GA,30047,Gwinnett,1705928000,1270151000,82419,N,0,6999,11,03510,Fed,3,OCC,All Other > $1 Billion
487527,"Bank of America, National Association",South Lawrenceville Branch,3985 Sugarloaf Pkwy,Lawrenceville,GA,30044,Gwinnett,1705928000,1270151000,38366,N,0,9449,11,03510,Fed,3,OCC,All Other > $1 Billion
191508,"Bank of America, National Association",East Atlanta Branch,"411 Flat Shoals Avenue, S.E.",Atlanta,GA,30316,DeKalb,1705928000,1270151000,63354,N,0,4526,11,03510,Fed,3,OCC,All Other > $1 Billion
218597,"Bank of America, National Association",Northlake Branch,4144 Lavista Road,Tucker,GA,30084,DeKalb,1705928000,1270151000,172287,N,0,4210,11,03510,Fed,3,OCC,All Other > $1 Billion
191893,"Bank of America, National Association",Wade Green Branch,4400 Wade Green Road,Kennesaw,GA,30144,Cobb,1705928000,1270151000,178525,N,0,4280,11,03510,Fed,3,OCC,All Other > $1 Billion
437203,"Bank of America, National Association",Governor's Club Branch,4460 Cobb Parkway N,Acworth,GA,30101,Cobb,1705928000,1270151000,72797,N,0,7014,11,03510,Fed,3,OCC,All Other > $1 Billion
191762,"Bank of America, National Association",Roswell-Wieuca Branch,"4492 Roswell Road, N.E.",Atlanta,GA,30342,Fulton,1705928000,1270151000,179910,N,0,4161,11,03510,Fed,3,OCC,All Other > $1 Billion
191525,"Bank of America, National Association",Chamblee Dunwoody Branch,4545 Chamblee Dunwoody Road,Dunwoody,GA,30338,DeKalb,1705928000,1270151000,102746,N,0,4532,11,03510,Fed,3,OCC,All Other > $1 Billion
191888,"Bank of America, National Association",West Vinings Branch,4567 South Cobb Drive,Smyrna,GA,30080,Cobb,1705928000,1270151000,136735,N,0,4277,11,03510,Fed,3,OCC,All Other > $1 Billion
225436,"Bank of America, National Association",Parkaire Branch,4851 Lower Roswell Road,Marietta,GA,30068,Cobb,1705928000,1270151000,199666,N,0,4219,11,03510,Fed,3,OCC,All Other > $1 Billion
191880,"Bank of America, National Association",Braelinn Village Branch,496 Crosstown Drive,Peachtree City,GA,30269,Fayette,1705928000,1270151000,89221,N,0,4273,11,03510,Fed,3,OCC,All Other > $1 Billion
488125,"Bank of America, National Association",Flat Shoals Parkway Branch,4960 Flat Shoals Parkway,Decatur,GA,30034,DeKalb,1705928000,1270151000,28071,N,0,9456,11,03510,Fed,3,OCC,All Other > $1 Billion
012948,"Bank of America, National Association",Peachtree City Branch,500 Northlake Drive,Peachtree City,GA,30269,Fayette,1705928000,1270151000,187812,N,0,4241,11,03510,Fed,3,OCC,All Other > $1 Billion
244511,"Bank of America, National Association",Buford Highway Branch,5001 Buford Highway,Chamblee,GA,30341,DeKalb,1705928000,1270151000,191022,N,0,4207,11,03510,Fed,3,OCC,All Other > $1 Billion
191866,"Bank of America, National Association",Oakbrook Parkway Branch,5125 Oakbrook Parkway,Norcross,GA,30093,Gwinnett,1705928000,1270151000,71016,N,0,4270,11,03510,Fed,3,OCC,All Other > $1 Billion
424241,"Bank of America, National Association",Windward Parkway West Branch,5195 Windward Parkway West,Alpharetta,GA,30004,Fulton,1705928000,1270151000,629129,N,0,6825,11,03510,Fed,3,OCC,All Other > $1 Billion
191820,"Bank of America, National Association",Old National Highway Branch,5199 Old National Highway,College Park,GA,30349,Fulton,1705928000,1270151000,826469,N,0,4191,11,03510,Fed,3,OCC,All Other > $1 Billion
217750,"Bank of America, National Association",Stone Mountain Branch,5330 Stone Mountain Hwy,Stone Mountain,GA,30087,Gwinnett,1705928000,1270151000,104255,N,0,4225,11,03510,Fed,3,OCC,All Other > $1 Billion
191713,"Bank of America, National Association",Mableton Branch,5353 Floyd Road,Mableton,GA,30126,Cobb,1705928000,1270151000,130626,N,0,4590,11,03510,Fed,3,OCC,All Other > $1 Billion
012168,"Bank of America, National Association",Chamblee Plaza Branch,5442 Peachtree Industrial Boulevard,Chamblee,GA,30341,DeKalb,1705928000,1270151000,123820,N,0,4206,11,03510,Fed,3,OCC,All Other > $1 Billion
276688,"Bank of America, National Association",Technology Park Branch,5500 Peachtree Parkway,Norcross,GA,30092,Gwinnett,1705928000,1270151000,146954,N,0,4606,11,03510,Fed,3,OCC,All Other > $1 Billion
251461,"Bank of America, National Association",Stockbridge Branch,5505 North Henry Boulevard,Stockbridge,GA,30281,Henry,1705928000,1270151000,79346,N,0,4223,11,03510,Fed,3,OCC,All Other > $1 Billion
